;Messzeit;Losnummer;laufenden Zähler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
;04.05.2022 15:24:09;;1;Fehler;;1;29.817;45.915;;4.686;0.28
;04.05.2022 15:25:03;;2;Fehler;;1;27.008;45.906;;4.682;0.273
;04.05.2022 15:25:39;;3;Fehler;;1;27.292;45.886;;4.683;0.326
;04.05.2022 15:26:12;;4;Fehler;;1;27.34;45.915;;4.685;0.229
;04.05.2022 15:26:40;;5;Fehler;;1;27.37;45.935;;4.69;0.311
;04.05.2022 15:27:10;;6;Fehler;;1;27.399;45.908;;4.687;0.291
;04.05.2022 15:27:40;;7;Fehler;;1;27.409;45.934;;4.689;0.28
;04.05.2022 15:28:11;;8;Fehler;;1;27.412;45.945;;4.687;0.306
;04.05.2022 15:28:48;;9;Fehler;;1;27.408;45.944;;4.692;0.282
;04.05.2022 15:29:24;;10;Fehler;;1;27.406;45.942;;4.69;0.263
;04.05.2022 15:29:58;;11;Fehler;;1;27.388;45.949;;4.692;0.287
;04.05.2022 15:30:33;;12;Fehler;;1;27.443;45.934;;4.688;0.287
;04.05.2022 15:31:08;;13;Fehler;;1;27.406;45.939;;4.692;0.29
;04.05.2022 15:31:45;;14;Fehler;;1;27.384;45.929;;4.694;0.264
;04.05.2022 15:32:20;;15;Fehler;;1;27.417;45.93;;4.693;0.302
;04.05.2022 15:32:54;;16;Fehler;;1;27.369;45.953;;4.693;0.25
;04.05.2022 15:33:29;;17;Fehler;;1;27.337;45.932;;4.695;0.343
;04.05.2022 15:34:05;;18;Fehler;;1;27.417;45.947;;4.692;0.219
;04.05.2022 15:34:41;;19;Fehler;;1;27.413;45.939;;4.692;0.257
;04.05.2022 15:35:14;;20;Fehler;;1;27.439;45.953;;4.695;0.271
;04.05.2022 15:35:49;;21;Fehler;;1;27.428;45.942;;4.689;0.275
;04.05.2022 15:36:25;;22;Fehler;;1;27.39;45.929;;4.695;0.285
;04.05.2022 15:37:00;;23;Fehler;;1;27.413;45.939;;4.691;0.301
;04.05.2022 15:37:35;;24;Fehler;;1;27.433;45.951;;4.698;0.284
;04.05.2022 15:38:10;;25;Fehler;;1;27.437;45.936;;4.694;0.266
;04.05.2022 15:38:45;;26;Fehler;;1;27.436;45.945;;4.689;0.25
;04.05.2022 15:39:21;;27;Fehler;;1;27.467;45.941;;4.692;0.301
;04.05.2022 15:39:58;;28;Fehler;;1;27.439;45.932;;4.695;0.272
;04.05.2022 15:40:30;;29;Fehler;;1;27.432;45.939;;4.696;0.239
;04.05.2022 15:41:07;;30;Fehler;;1;27.445;45.941;;4.693;0.245
;04.05.2022 15:41:41;;31;Fehler;;1;27.408;45.936;;4.695;0.308
;04.05.2022 15:42:15;;32;Fehler;;1;27.451;45.945;;4.694;0.277
;04.05.2022 15:42:52;;33;Fehler;;1;27.361;45.956;;4.695;0.272
;04.05.2022 15:43:25;;34;Fehler;;1;27.441;45.939;;4.694;0.278
;04.05.2022 15:44:01;;35;Fehler;;1;27.441;45.939;;4.703;0.323
;04.05.2022 15:44:33;;36;Fehler;;1;27.437;45.961;;4.695;0.231
;04.05.2022 15:45:11;;37;Fehler;;1;27.46;45.947;;4.694;0.23
;04.05.2022 15:45:46;;38;Fehler;;1;27.39;45.937;;4.694;0.211
;04.05.2022 15:46:22;;39;Fehler;;1;27.457;45.936;;4.688;0.289
;04.05.2022 15:46:55;;40;Fehler;;1;27.392;45.925;;4.696;0.55
;04.05.2022 15:47:31;;41;Fehler;;1;27.413;45.94;;4.688;0.279
;04.05.2022 15:48:09;;42;Fehler;;1;27.35;45.93;;4.698;0.265
;04.05.2022 15:48:40;;43;Fehler;;1;27.461;45.94;;4.696;0.266
;04.05.2022 15:49:17;;44;Fehler;;1;27.474;45.927;;4.689;0.287
;04.05.2022 15:49:49;;45;Fehler;;1;27.404;45.947;;4.696;0.25
;04.05.2022 15:50:24;;46;Fehler;;1;27.421;45.931;;4.69;0.284
;04.05.2022 15:51:04;;47;Fehler;;1;27.41;45.93;;4.687;0.244
;04.05.2022 15:51:37;;48;Fehler;;1;27.466;45.932;;4.691;0.257
;04.05.2022 15:52:11;;49;Fehler;;1;27.448;45.94;;4.697;0.268
;04.05.2022 15:52:48;;50;Fehler;;1;27.438;45.937;;4.693;0.229
;04.05.2022 15:53:21;;51;Fehler;;1;27.436;45.931;;4.689;0.255
;04.05.2022 15:53:57;;52;Fehler;;1;27.413;45.937;;4.69;0.237
;04.05.2022 15:54:30;;53;Fehler;;1;27.429;45.934;;4.692;0.258
;04.05.2022 15:55:04;;54;Fehler;;1;27.467;45.933;;4.688;0.272
;04.05.2022 15:55:48;;55;Fehler;;1;27.361;45.906;;4.688;0.279
;04.05.2022 15:56:16;;56;Fehler;;1;27.431;45.939;;4.694;0.275
;04.05.2022 15:56:51;;57;Fehler;;1;27.45;45.943;;4.691;0.221
;04.05.2022 15:57:26;;58;Fehler;;1;27.388;45.933;;4.694;0.29
;04.05.2022 15:58:00;;59;Fehler;;1;27.395;45.953;;4.692;0.242
;04.05.2022 15:58:34;;60;Fehler;;1;27.484;45.951;;4.694;0.278
;04.05.2022 15:59:11;;61;Fehler;;1;27.393;45.936;;4.694;0.283
;04.05.2022 15:59:50;;62;Fehler;;1;27.511;45.922;;4.693;0.262
;04.05.2022 16:00:27;;63;Fehler;;1;27.393;45.935;;4.692;0.278
;04.05.2022 16:01:01;;64;Fehler;;1;27.291;45.941;;4.698;0.284
;04.05.2022 16:02:03;;65;Fehler;;1;27.375;45.888;;4.687;0.308
;04.05.2022 16:02:32;;66;Fehler;;1;27.428;45.916;;4.696;0.276
;04.05.2022 16:03:01;;67;Fehler;;1;27.449;45.908;;4.695;0.309
;04.05.2022 16:03:29;;68;Fehler;;1;27.406;45.923;;4.695;0.272
;04.05.2022 16:04:04;;69;Fehler;;1;27.452;45.92;;4.693;0.276
;04.05.2022 16:04:34;;70;Fehler;;1;27.504;45.924;;4.693;0.265
;04.05.2022 16:05:07;;71;Fehler;;1;27.424;45.936;;4.695;0.3
;04.05.2022 16:05:42;;72;Fehler;;1;27.445;45.95;;4.694;0.228
;04.05.2022 16:06:20;;73;Fehler;;1;27.487;45.937;;4.691;0.266
;04.05.2022 16:06:52;;74;Fehler;;1;27.441;45.938;;4.696;0.274
;04.05.2022 16:07:26;;75;Fehler;;1;27.444;45.931;;4.699;0.294
;04.05.2022 16:08:04;;76;Fehler;;1;27.428;45.946;;4.694;0.238
;04.05.2022 16:08:38;;77;Fehler;;1;27.41;45.939;;4.692;0.273
;04.05.2022 16:09:12;;78;Fehler;;1;27.392;45.95;;4.69;0.249
;04.05.2022 16:09:50;;79;Fehler;;1;27.456;45.907;;4.698;0.248
;04.05.2022 16:10:23;;80;Fehler;;1;27.435;45.923;;4.696;0.251
;04.05.2022 16:10:57;;81;Fehler;;1;27.424;45.94;;4.696;0.27
;04.05.2022 16:11:31;;82;Fehler;;1;27.423;45.942;;4.696;0.252
;04.05.2022 16:12:06;;83;Fehler;;1;27.426;45.939;;4.694;0.3
;04.05.2022 16:12:41;;84;Fehler;;1;27.4;45.942;;4.691;0.252
;04.05.2022 16:13:16;;85;Fehler;;1;27.455;45.924;;4.69;0.284
;04.05.2022 16:14:09;;86;Fehler;;1;27.465;45.947;;4.694;0.297
;04.05.2022 16:14:42;;87;Fehler;;1;27.451;45.93;;4.688;0.247
;04.05.2022 16:15:17;;88;Fehler;;1;27.373;45.948;;4.698;0.321
;04.05.2022 16:15:51;;89;Fehler;;1;27.451;45.938;;4.698;0.306
;04.05.2022 16:16:29;;90;Fehler;;1;27.41;45.943;;4.694;0.277
;04.05.2022 16:17:03;;91;Fehler;;1;27.533;45.927;;4.699;0.303
;04.05.2022 16:17:46;;92;Fehler;;1;27.456;45.912;;4.697;0.274
;04.05.2022 16:18:15;;93;Fehler;;1;27.448;45.921;;4.701;0.493
;04.05.2022 16:18:49;;94;Fehler;;1;27.436;45.942;;4.696;0.282
;04.05.2022 16:19:21;;95;Fehler;;1;27.441;45.945;;4.697;0.295
;04.05.2022 16:19:59;;96;Fehler;;1;27.427;45.939;;4.697;0.274
;04.05.2022 16:20:36;;97;Fehler;;1;27.45;45.95;;4.7;0.245
;04.05.2022 16:21:12;;98;Fehler;;1;27.418;45.952;;4.702;0.283
;04.05.2022 16:21:46;;99;Fehler;;1;27.305;45.914;;4.697;0.376
;04.05.2022 16:22:20;;100;Fehler;;1;27.658;45.949;;4.699;0.262
;04.05.2022 16:23:10;;101;Fehler;;1;27.433;45.901;;4.694;0.275
;04.05.2022 16:23:36;;102;Fehler;;1;27.472;45.909;;4.69;0.299
;04.05.2022 16:24:06;;103;Fehler;;1;27.45;45.939;;4.684;0.271
;04.05.2022 16:24:41;;104;Fehler;;1;27.487;45.93;;4.69;0.266
;04.05.2022 16:25:16;;105;Fehler;;1;27.478;45.932;;4.681;0.283
;04.05.2022 16:25:52;;106;Fehler;;1;27.425;45.94;;4.69;0.294
;04.05.2022 16:26:27;;107;Fehler;;1;27.462;45.923;;4.684;0.282
;04.05.2022 16:27:01;;108;Fehler;;1;27.465;45.924;;4.691;0.292
;04.05.2022 16:27:36;;109;Fehler;;1;27.471;45.914;;4.677;0.277
;04.05.2022 16:28:11;;110;Fehler;;1;27.465;45.941;;4.689;0.256
;04.05.2022 16:28:45;;111;Fehler;;1;27.461;45.925;;4.688;0.288
;04.05.2022 16:29:23;;112;Fehler;;1;27.459;45.928;;4.683;0.262
;04.05.2022 16:29:55;;113;Fehler;;1;27.495;45.91;;4.681;0.305
;04.05.2022 16:30:32;;114;Fehler;;1;27.473;45.92;;4.687;0.285
;04.05.2022 16:31:08;;115;Fehler;;1;27.46;45.919;;4.685;0.264
;04.05.2022 16:31:41;;116;Fehler;;1;27.455;45.923;;4.688;0.302
;04.05.2022 16:32:15;;117;Fehler;;1;27.471;45.933;;4.695;0.282
;04.05.2022 16:32:49;;118;Fehler;;1;27.432;45.927;;4.697;0.259
;04.05.2022 16:33:25;;119;Fehler;;1;27.431;45.943;;4.692;0.255
;04.05.2022 16:34:00;;120;Fehler;;1;27.439;45.927;;4.698;0.282
;04.05.2022 16:34:34;;121;Fehler;;1;27.356;45.942;;4.691;0.269
;04.05.2022 16:35:10;;122;Fehler;;1;27.403;45.935;;4.698;0.282
;04.05.2022 16:35:55;;123;Fehler;;1;27.43;45.899;;4.696;0.269
;04.05.2022 16:36:23;;124;Fehler;;1;27.459;45.942;;4.698;0.274
;04.05.2022 16:36:53;;125;Fehler;;1;27.36;45.941;;4.693;0.268
;04.05.2022 16:37:40;;126;Fehler;;1;27.436;45.904;;4.695;0.276
;04.05.2022 16:38:06;;127;Fehler;;1;27.396;45.942;;4.689;0.266
;04.05.2022 16:38:40;;128;Fehler;;1;27.351;45.939;;4.695;0.265
;04.05.2022 16:39:23;;129;Fehler;;1;27.422;45.918;;4.691;0.287
;04.05.2022 16:39:50;;130;Fehler;;1;27.412;45.94;;4.701;0.291
;04.05.2022 16:40:24;;131;Fehler;;1;27.355;45.937;;4.692;0.261
;04.05.2022 16:40:59;;132;Fehler;;1;27.455;45.93;;4.695;0.271
;04.05.2022 16:41:48;;133;Fehler;;1;27.588;45.899;;4.699;0.284
;04.05.2022 16:42:25;;134;Fehler;;1;27.443;45.893;;4.7;0.281
;04.05.2022 16:42:52;;135;Fehler;;1;27.405;45.917;;4.692;0.257
;04.05.2022 16:43:24;;136;Fehler;;1;27.415;45.919;;4.699;0.355
;04.05.2022 16:43:54;;137;Fehler;;1;27.445;45.915;;4.698;0.306
;04.05.2022 16:44:30;;138;Fehler;;1;27.514;45.929;;4.698;0.302
;04.05.2022 16:45:04;;139;Fehler;;1;27.434;45.933;;4.696;0.268
;04.05.2022 16:45:39;;140;Fehler;;1;27.432;45.945;;4.695;0.4
;04.05.2022 16:46:18;;141;Fehler;;1;27.439;45.927;;4.724;0.297
;04.05.2022 16:46:47;;142;Fehler;;1;27.549;45.944;;4.698;0.27
;04.05.2022 16:47:31;;143;Fehler;;1;27.297;45.914;;4.69;0.268
;04.05.2022 16:47:59;;144;Fehler;;1;27.448;45.927;;4.698;0.282
;04.05.2022 16:48:35;;145;Fehler;;1;27.391;45.932;;4.696;0.285
;04.05.2022 16:49:32;;146;Fehler;;1;27.418;45.877;;4.696;0.312
;04.05.2022 16:50:04;;147;Fehler;;1;27.416;45.902;;4.693;0.308
;04.05.2022 16:50:36;;148;Fehler;;1;27.454;45.912;;4.697;0.328
;04.05.2022 16:51:05;;149;Fehler;;1;27.46;45.907;;4.689;0.29
;04.05.2022 16:51:32;;150;Fehler;;1;27.383;45.901;;4.693;0.29
;04.05.2022 16:52:08;;151;Fehler;;1;27.385;45.928;;4.693;0.27
;04.05.2022 16:52:38;;152;Fehler;;1;27.363;45.929;;4.69;0.27
;04.05.2022 16:53:15;;153;Fehler;;1;27.414;45.924;;4.692;0.275
;04.05.2022 16:53:50;;154;Fehler;;1;27.392;45.902;;4.689;0.274
;04.05.2022 16:54:22;;155;Fehler;;1;26.881;45.898;;4.696;0.321
;04.05.2022 16:54:58;;156;Fehler;;1;27.465;45.936;;4.693;0.292
;04.05.2022 16:55:33;;157;Fehler;;1;27.451;45.927;;4.694;0.287
;04.05.2022 16:56:08;;158;Fehler;;1;27.371;45.908;;4.692;0.264
;04.05.2022 16:56:44;;159;Fehler;;1;27.36;45.932;;4.715;0.292
